,0,1,2,3,4,5,6,7,8
0,0.0,11.0,26.0,43.0,60.0,75.0,14.934333390770364,12.978880653575228,16.8897861279655
1,0.0,0.0,21.0,36.0,55.0,73.0,14.8029729961476,12.96748220628125,16.63846378601395
2,0.0,10.0,28.0,35.0,57.0,69.0,11.5928513181163,9.426036341358126,13.759666294874476
3,0.0,5.0,19.0,42.0,56.0,72.0,13.728688559429665,12.172839254279731,15.2845378645796
4,0.0,1.0,20.0,34.0,48.0,67.0,10.762034842053527,8.869053925807142,12.655015758299912
5,0.0,0.0,13.0,33.0,46.0,67.0,12.989285801512688,11.047672540476254,14.930899062549122
6,1.0,22.0,39.0,51.0,64.0,75.0,16.707709393094834,14.909941950660727,18.505476835528942
7,0.0,11.0,27.0,50.0,67.0,80.0,17.844533433009698,15.984969238388942,19.704097627630453
8,0.0,5.0,25.0,43.0,55.0,74.0,15.602091638329073,13.520635002622338,17.683548274035807
9,0.0,16.0,28.0,43.0,58.0,74.0,15.647539988952628,14.075755275058699,17.21932470284656
10,0.0,3.0,26.0,42.0,55.0,68.0,12.3431090331961,10.745149676423287,13.941068389968914
11,0.0,9.0,28.0,41.0,62.0,73.0,12.4136406219643,11.026853747235506,13.800427496693093
12,0.0,3.0,17.0,41.0,58.0,76.0,16.553130233077276,15.063284401478347,18.042976064676207
13,3.0,21.0,29.0,44.0,61.0,78.0,18.166824321663924,16.08277174170071,20.250876901627137
14,0.0,1.0,14.0,36.0,56.0,75.0,14.743854458665433,12.86276536375528,16.624943553575587
15,0.0,3.0,21.0,38.0,53.0,68.0,12.419214883442141,10.67756804362157,14.160861723262713
16,11.0,22.0,38.0,47.0,64.0,75.0,14.299874396310857,12.417980225656406,16.181768566965307
17,0.0,1.0,14.0,34.0,54.0,64.0,10.450885657530998,8.208798328920235,12.692972986141761
18,0.0,8.0,22.0,34.0,54.0,68.0,14.855728477395331,13.081583483612354,16.62987347117831
19,0.0,2.0,23.0,36.0,52.0,65.0,11.93755265362995,9.92782466236009,13.947280644899811
20,0.0,0.0,0.0,21.0,44.0,64.0,10.974396790617417,9.58127595308704,12.367517628147795
21,0.0,4.0,20.0,39.0,55.0,70.0,13.919718434896911,11.685501277089005,16.153935592704816
22,0.0,0.0,11.0,31.0,50.0,72.0,14.577723106970467,12.440994445481946,16.714451768458986
23,0.0,12.0,33.0,47.0,62.0,75.0,15.098223293165502,12.967953119251273,17.22849346707973
24,0.0,10.0,24.0,41.0,56.0,74.0,15.894914514355644,13.950828599584227,17.83900042912706
25,0.0,0.0,20.0,39.0,53.0,75.0,14.81415204871552,12.890595680152245,16.737708417278796
26,0.0,12.0,30.0,44.0,60.0,67.0,11.556106039553475,9.434927643733367,13.677284435373583
27,0.0,0.0,14.0,33.0,62.0,78.0,18.75107506362001,16.90294488211673,20.59920524512329
28,0.0,4.0,29.0,43.0,59.0,75.0,14.156303707913082,11.898427363356179,16.414180052469987
29,5.0,18.0,35.0,42.0,60.0,74.0,17.511014913583093,15.32794054180488,19.694089285361308
30,0.0,2.0,12.0,32.0,54.0,68.0,13.877764540299914,12.256441620275263,15.499087460324565
31,0.0,0.0,5.0,26.0,38.0,66.0,11.152099846820228,9.18818733640142,13.116012357239036
